timestamp,AX_raw,AY_raw,AZ_raw,GX_raw,GY_raw,GZ_raw,MX_raw,MY_raw,MZ_raw
1770405539.511248,-114,225,-2969,-9,-1,0,0,0,0
1770405539.511485,-115,224,-2966,-3,-2,0,311,-201,194
1770405539.511498,-115,225,-2969,-4,-3,-2,310,-202,194
1770405539.512405,-114,225,-2969,-3,-4,-2,312,-201,195
1770405539.512416,-115,224,-2969,1,-3,-1,311,-201,194
1770405539.512423,-116,224,-2966,0,-1,0,311,-203,192
1770405539.611136,249,10,-2981,-2,0,0,160,19,2443
1770405539.711510,248,8,-2982,-4,0,0,160,20,2444
1770405539.812749,249,7,-2981,-5,0,0,160,20,2443
1770405539.911764,249,9,-2983,-3,0,0,161,20,2443
1770405540.012510,247,9,-2981,-6,0,0,160,20,2445
1770405540.112526,247,9,-2981,-5,0,1,160,20,2445
1770405540.211867,248,9,-2981,-3,0,0,160,20,2442
1770405540.311889,249,9,-2980,-5,0,0,160,21,2442
1770405540.412126,248,9,-2982,-5,0,0,161,21,2444
1770405540.512177,248,9,-2980,-5,0,0,161,21,2444
1770405540.612335,249,9,-2980,-4,0,0,161,21,2443
1770405540.712209,248,7,-2981,-3,0,0,161,20,2443
1770405540.813320,249,8,-2983,-4,0,0,160,22,2443
1770405540.912603,248,8,-2982,-3,-1,0,161,22,2444
1770405541.012899,248,8,-2982,0,-1,0,162,21,2445
1770405541.133983,246,8,-2980,-1,-1,0,161,22,2444
1770405541.212847,248,8,-2983,-4,0,0,161,23,2443
1770405541.312929,248,7,-2984,-6,0,0,161,23,2445
1770405541.412930,247,8,-2979,-10,2,2,160,23,2443
1770405541.513291,248,8,-2982,-5,0,1,160,23,2445
1770405541.613381,248,8,-2982,2,-3,0,161,22,2442
1770405541.713469,247,5,-2982,4,-4,0,161,23,2444
1770405541.813701,247,6,-2981,-9,2,0,161,24,2444
1770405541.913503,247,7,-2983,-4,0,1,161,24,2445
1770405542.013797,246,6,-2983,-1,0,1,162,24,2444
1770405542.154779,248,7,-2981,-9,1,0,162,24,2444
1770405542.213691,247,6,-2981,-2,0,0,161,24,2444
1770405542.314121,248,4,-2983,0,-1,0,161,24,2446
1770405542.414139,248,6,-2980,-11,2,0,161,25,2443
1770405542.514012,247,6,-2982,-3,0,0,161,24,2444
1770405542.614422,247,5,-2984,-2,0,0,162,23,2445
1770405542.714631,248,6,-2980,-9,1,0,162,24,2444
1770405542.814748,247,5,-2982,-4,0,0,161,24,2443
1770405542.914702,248,6,-2982,-5,0,0,161,24,2444
1770405543.014744,247,7,-2981,-6,0,0,161,23,2445
1770405543.115614,248,6,-2983,-4,0,0,161,23,2445
1770405543.215046,247,6,-2982,-3,0,0,162,24,2443
1770405543.315141,248,8,-2983,-7,0,0,161,23,2444
1770405543.415161,248,6,-2982,-3,0,0,161,25,2444
1770405543.515331,248,5,-2981,-4,0,0,162,25,2444
1770405543.615511,248,6,-2983,-5,0,0,162,24,2445
1770405543.715193,250,6,-2981,-4,0,0,161,23,2446
1770405543.815776,246,5,-2979,-6,0,0,162,24,2444
1770405543.915654,247,6,-2982,-3,0,0,162,24,2445
1770405544.015801,247,6,-2982,-4,0,0,162,24,2446
1770405544.136897,248,5,-2984,-6,0,0,161,23,2443
1770405544.215924,247,5,-2982,-5,0,0,161,25,2444
1770405544.315924,247,6,-2983,-6,0,0,161,24,2445
1770405544.416317,249,6,-2982,-4,0,0,161,24,2444
1770405544.516324,246,6,-2982,-4,0,0,161,24,2443
1770405544.616323,248,6,-2982,-8,1,0,162,23,2445
1770405544.716621,247,6,-2981,-4,0,0,160,23,2446
1770405544.816803,248,6,-2984,-3,0,0,161,24,2445
1770405544.916596,246,6,-2982,-6,0,0,161,25,2444
1770405545.016921,247,6,-2982,-5,0,0,162,23,2445
1770405545.157966,248,6,-2981,-4,0,0,162,24,2446
1770405545.217065,248,6,-2982,-5,0,0,161,24,2445
1770405545.317244,248,6,-2984,-4,0,1,161,23,2445
1770405545.417179,247,5,-2982,-5,0,0,161,24,2442
1770405545.517069,248,6,-2982,-5,0,0,160,24,2444
1770405545.617515,247,7,-2983,-4,0,0,161,23,2445
1770405545.717605,247,6,-2980,-5,0,0,161,23,2446
1770405545.817790,246,6,-2981,-5,0,0,161,24,2444
1770405545.917798,248,7,-2982,-6,0,0,160,24,2443
1770405546.017886,248,7,-2984,-7,0,0,160,23,2444
1770405546.117726,247,5,-2982,-5,0,0,162,22,2444
1770405546.218044,249,7,-2985,-4,0,1,161,23,2443
1770405546.318216,247,7,-2981,-6,0,0,160,23,2444
1770405546.418201,248,6,-2980,4,-4,0,161,24,2443
1770405546.518268,249,6,-2985,-2,0,1,161,25,2445
1770405546.618454,247,7,-2981,-23,6,0,162,25,2446
1770405546.718128,249,9,-2981,3,-3,0,160,21,2445
1770405546.818284,247,5,-2984,16,-8,0,162,24,2444
1770405546.918478,247,7,-2981,-30,8,0,163,27,2445
1770405547.018622,247,7,-2981,-6,1,1,162,23,2444
1770405547.138636,247,5,-2982,4,-3,0,165,25,2443
1770405547.218577,247,7,-2982,-14,3,0,171,30,2446
1770405547.318767,248,7,-2981,1,-2,0,166,26,2443
1770405547.419229,247,5,-2983,7,-4,0,165,26,2445
1770405547.518903,248,5,-2984,-9,0,0,164,27,2445
1770405547.619057,247,6,-2984,-4,0,1,165,25,2445
1770405547.719151,247,5,-2982,-6,0,0,165,25,2445
1770405547.919323,247,4,-2983,-5,0,0,164,27,2444
1770405548.019415,247,6,-2982,-8,1,0,163,25,2446
1770405548.159587,247,6,-2982,-4,0,0,163,26,2444
1770405548.219626,247,6,-2982,-5,0,0,164,26,2445
1770405548.319712,247,6,-2983,-5,0,0,165,25,2444
1770405548.419731,247,7,-2982,-4,0,0,166,26,2443
1770405548.519900,247,5,-2981,-7,0,0,165,27,2444
1770405548.620002,247,6,-2982,-7,0,1,165,25,2444
1770405548.720044,247,6,-2983,-4,0,0,165,25,2445
1770405548.820207,247,5,-2982,-5,0,0,164,26,2444
1770405548.920302,248,5,-2983,-5,0,0,164,25,2444
1770405549.020401,247,6,-2983,-4,0,0,165,24,2446
1770405549.120476,247,6,-2980,-4,0,0,163,24,2443
1770405549.220512,248,5,-2982,-5,0,0,163,24,2445
1770405549.320709,247,6,-2982,-6,0,0,162,24,2443
1770405549.420725,247,5,-2981,-6,0,0,163,24,2444
1770405549.520905,247,7,-2982,-5,0,0,162,24,2443
1770405549.620929,248,6,-2982,-5,0,0,163,23,2443
1770405549.721038,246,7,-2982,-5,0,0,163,23,2443
1770405549.821080,248,6,-2983,-5,0,0,163,25,2442
1770405549.921146,247,7,-2984,-5,0,0,163,24,2443
1770405550.021206,246,8,-2983,-4,0,0,162,24,2444
1770405550.141396,248,7,-2984,-5,0,1,163,22,2443
1770405550.221448,247,6,-2983,-4,0,0,162,24,2443
1770405550.321693,247,6,-2982,-6,0,0,163,25,2443
1770405550.421625,247,7,-2982,-5,0,0,163,24,2444
1770405550.522018,248,6,-2982,-4,0,1,163,24,2443
1770405550.621882,247,5,-2981,-5,0,0,163,23,2446
1770405550.721941,247,7,-2983,-5,0,1,162,23,2444
1770405550.822067,247,7,-2983,-6,0,0,163,23,2444
1770405550.922156,248,6,-2982,-5,0,0,162,24,2443
1770405551.022127,247,7,-2982,-4,0,0,163,23,2444
1770405551.162259,247,6,-2982,-4,0,0,163,22,2444
1770405551.222648,247,6,-2980,-4,0,0,163,24,2445
1770405551.322514,249,7,-2982,-5,0,0,162,24,2443
1770405551.422593,247,6,-2982,-5,0,0,163,23,2444
1770405551.522573,247,7,-2982,-5,0,0,163,22,2444
1770405551.622659,248,7,-2982,-5,0,0,163,23,2444
1770405551.722804,246,7,-2982,-5,0,1,163,22,2446
1770405551.822994,247,7,-2982,-5,0,0,163,23,2445
1770405551.922983,248,6,-2981,-5,0,0,163,24,2443
1770405552.022068,247,6,-2983,-4,0,0,163,23,2444
1770405552.223255,248,6,-2982,-4,0,0,163,23,2444
1770405552.323439,246,7,-2984,-5,0,1,163,23,2443
1770405552.422445,247,7,-2983,-4,0,0,163,23,2443
1770405552.523534,248,7,-2983,-5,0,0,163,23,2443
1770405552.622601,248,7,-2982,-4,0,0,163,23,2444
1770405552.722715,247,7,-2983,-3,0,0,162,23,2444
1770405552.823911,248,6,-2983,-4,0,0,163,24,2443
1770405552.922915,247,6,-2982,-4,0,0,163,23,2445
1770405553.023050,247,6,-2982,-4,0,1,163,24,2445
1770405553.144101,246,7,-2982,-4,0,0,163,23,2442
1770405553.223137,247,6,-2984,-5,0,0,163,24,2444
1770405553.324334,246,5,-2982,-5,0,0,163,24,2444
1770405553.423325,247,5,-2981,-4,0,0,163,24,2443
1770405553.523430,247,7,-2983,-5,0,0,163,24,2446
1770405553.624463,247,6,-2982,-4,0,0,163,23,2445
1770405553.723576,246,6,-2983,-4,0,0,163,22,2445
1770405553.824714,247,7,-2983,-4,0,0,163,23,2445
1770405553.924154,248,6,-2983,-3,0,0,162,23,2444
1770405554.024103,247,6,-2984,-3,0,0,163,23,2444
1770405554.165259,248,6,-2983,-5,0,0,163,25,2444
1770405554.224144,246,7,-2981,-7,0,0,163,24,2445
1770405554.424619,247,6,-2982,-2,0,0,163,24,2446
1770405554.524574,247,6,-2982,-8,1,0,163,26,2446
1770405554.624783,247,6,-2983,-6,0,0,163,24,2445
1770405554.724828,247,6,-2981,-3,0,1,163,23,2446
1770405554.824870,247,7,-2983,-5,0,0,163,24,2444
1770405554.925038,247,8,-2985,-7,1,0,163,24,2444
1770405555.025000,248,5,-2981,-4,0,1,163,23,2443
1770405555.126218,248,6,-2983,-2,-1,1,163,24,2444
1770405555.225102,246,6,-2984,-8,1,0,163,25,2443
1770405555.325180,246,7,-2981,-6,0,1,163,24,2444
1770405555.425380,247,5,-2983,-2,0,1,163,24,2446
1770405555.525348,247,6,-2983,-7,0,0,163,24,2444
1770405555.625411,247,7,-2983,-5,0,0,163,24,2445
1770405555.725602,247,7,-2982,-5,0,0,163,23,2444
1770405555.826567,247,6,-2982,-3,0,0,163,24,2444
1770405555.925732,247,7,-2982,-6,0,0,163,24,2444
1770405556.025975,246,6,-2982,-4,0,0,164,23,2446
1770405556.146933,247,6,-2981,-4,0,0,164,24,2444
1770405556.225958,247,7,-2983,-6,0,1,163,25,2445
1770405556.426148,247,6,-2982,-6,0,0,163,25,2444
1770405556.526247,247,6,-2982,-5,0,0,163,23,2445
1770405556.626445,247,5,-2983,-4,0,0,163,24,2445
1770405556.726534,247,7,-2983,-5,0,1,164,24,2448
1770405556.826584,247,5,-2983,-4,0,0,163,25,2444
1770405556.926565,247,7,-2983,-7,0,0,163,24,2445
1770405557.026769,247,7,-2983,-4,0,0,163,24,2445
1770405557.167868,248,6,-2983,-5,0,0,163,23,2442
1770405557.226926,247,5,-2981,-6,0,0,163,24,2444
1770405557.327028,248,5,-2983,-5,0,0,164,25,2446
1770405557.427086,246,7,-2982,-4,0,1,163,24,2443
1770405557.527109,247,6,-2983,-5,0,0,163,24,2443
1770405557.627265,247,6,-2984,-4,0,0,163,23,2447
1770405557.727237,247,6,-2984,-5,0,0,163,24,2444
1770405557.827420,247,5,-2981,-5,0,0,163,24,2445
1770405557.927418,247,6,-2983,-6,0,0,163,25,2444
1770405558.027480,246,6,-2983,-6,0,0,163,23,2445
1770405558.128704,248,7,-2983,-3,0,0,163,23,2446
1770405558.227763,248,6,-2984,-2,-1,0,163,24,2444
1770405558.327613,249,5,-2980,-6,0,0,163,25,2443
1770405558.427518,247,6,-2982,-11,2,0,163,25,2445
1770405558.527675,247,6,-2981,-3,0,0,163,24,2444
1770405558.627661,246,7,-2983,-3,0,0,163,23,2444
1770405558.727877,248,7,-2982,-8,1,0,163,23,2444
1770405558.928040,246,7,-2984,-4,0,0,163,24,2445
1770405559.028169,246,7,-2983,-6,0,0,163,23,2445
1770405559.148617,247,6,-2983,-4,0,0,163,23,2444
1770405559.228297,248,6,-2984,-5,0,1,163,23,2445
1770405559.328485,247,7,-2983,-6,0,0,163,24,2443
1770405559.428487,247,7,-2985,-3,0,1,163,23,2443
1770405559.528835,247,8,-2979,-8,3,4,163,23,2445
1770405559.628852,248,5,-2984,6,-2,2,162,23,2445
1770405559.829179,249,5,-2985,-24,6,0,162,27,2445
1770405559.929115,247,7,-2980,-19,3,-1,162,23,2443
1770405560.028951,246,4,-2983,24,-9,1,162,24,2446
1770405560.170135,246,4,-2984,-16,4,0,164,27,2447
1770405560.229232,247,5,-2983,-25,7,0,162,28,2443
1770405560.329578,246,4,-2982,2,-2,0,162,26,2443
1770405560.429638,247,4,-2983,-4,0,1,163,28,2444
1770405560.529611,248,6,-2983,-13,2,1,162,27,2444
1770405560.629707,247,5,-2982,0,-2,0,162,25,2446
1770405560.729743,246,4,-2984,-1,-1,0,163,27,2447
1770405560.830012,247,4,-2983,-10,1,0,162,27,2443
1770405560.929893,247,6,-2983,-6,0,0,162,27,2446
1770405561.030115,248,3,-2982,-3,0,0,162,26,2443
1770405561.130052,248,5,-2984,-6,0,0,162,26,2444
1770405561.230245,247,4,-2983,-7,0,0,163,27,2446
1770405561.430056,247,4,-2983,-6,0,0,162,26,2445
1770405561.530294,248,4,-2980,-6,0,0,162,26,2443
1770405561.630517,246,6,-2984,-5,0,0,162,26,2445
1770405561.730680,247,5,-2983,-6,0,0,162,25,2444
1770405561.830773,248,6,-2983,-5,0,0,162,26,2444
1770405561.930680,247,6,-2983,-5,0,0,162,26,2446
1770405562.030745,248,5,-2983,-6,0,0,162,25,2445
1770405562.150766,247,6,-2984,-5,0,0,162,26,2444
1770405562.230912,247,5,-2983,-7,0,0,162,26,2442
1770405562.331133,247,6,-2982,-6,0,0,163,25,2443
1770405562.430854,247,7,-2984,-5,0,0,161,25,2443
1770405562.531229,248,4,-2982,-6,0,0,162,25,2445
1770405562.631065,247,6,-2984,-5,0,0,162,24,2446
1770405562.731454,246,6,-2984,-5,0,0,162,25,2444
1770405562.831584,248,6,-2982,-10,1,0,162,26,2446
1770405562.931635,247,6,-2983,-4,0,0,161,24,2443
1770405563.031707,248,5,-2983,-3,0,0,161,24,2442
1770405563.171796,247,6,-2982,-7,0,0,162,25,2442
1770405563.231489,248,7,-2982,-6,0,0,161,25,2444
1770405563.331826,247,5,-2982,-3,0,0,161,24,2444
1770405563.431654,248,5,-2984,-6,0,0,160,25,2443
1770405563.531754,248,6,-2983,-7,0,0,161,24,2444
1770405563.632033,248,5,-2983,-4,0,0,161,24,2443
1770405563.732049,248,7,-2983,-6,0,1,162,24,2445
